start_date,end_date,state,score_max,peak_date
2025-06-11,2025-06-25,Pre-Stress,1.6776867012384913,2025-06-22
2025-06-30,2025-07-02,Pre-Stress,1.3407569956709184,2025-07-01
2025-07-04,2025-07-06,Pre-Stress,1.0856006093419723,2025-07-04
2025-07-07,2025-07-08,Pre-Stress,1.0519964590872415,2025-07-07
2025-07-10,2025-07-11,Pre-Stress,1.2455549257062941,2025-07-10
2025-07-15,2025-07-17,Pre-Stress,1.1154273418094474,2025-07-15
2025-07-18,2025-07-22,Pre-Stress,1.1537666982673969,2025-07-20
2025-07-23,2025-07-27,Pre-Stress,1.1318273862460875,2025-07-25
2025-07-28,2025-08-07,Pre-Stress,1.729914174175431,2025-08-02
2025-08-08,2025-08-10,Pre-Stress,1.0949601451994386,2025-08-08
2025-08-11,2025-08-12,Pre-Stress,1.033819886555594,2025-08-11
2025-08-14,2025-09-08,Pre-Stress,2.0897127105136772,2025-08-29
2025-09-09,2025-09-10,Pre-Stress,1.086112812034965,2025-09-09
2025-09-19,2025-10-02,Pre-Stress,1.7422711751856839,2025-09-25
2025-10-07,2025-11-14,Pre-Stress,3.094365800318493,2025-11-14
2025-11-14,2025-12-08,Core Stress,4.200638096610225,2025-11-21
2025-12-08,2025-12-12,Pre-Stress,2.801807111367964,2025-12-08
