start_date,end_date,state,score_max,peak_date
2025-09-05,2025-09-09,Pre-Stress,1.0347623726713802,2025-09-05
2025-09-10,2025-09-11,Pre-Stress,1.0182570061176233,2025-09-10
2025-09-23,2025-09-30,Pre-Stress,1.5084282494619599,2025-09-25
2025-10-07,2025-10-08,Pre-Stress,1.063816289855668,2025-10-07
2025-10-09,2025-11-06,Pre-Stress,2.6972287746693095,2025-11-06
2025-11-06,2025-11-07,Core Stress,2.6972287746693095,2025-11-06
2025-11-07,2025-11-18,Pre-Stress,2.6205454723249666,2025-11-18
2025-11-18,2025-11-28,Core Stress,3.250837923319394,2025-11-20
2025-11-28,2025-12-01,Pre-Stress,2.6466048198581174,2025-12-01
2025-12-01,2025-12-03,Core Stress,2.6466048198581174,2025-12-01
2025-12-03,2025-12-16,Pre-Stress,2.261602416181763,2025-12-04
