start_date,end_date,state,score_max,peak_date
2025-09-03,2025-09-04,Pre-Stress,1.2546554853344807,2025-09-03
2025-09-05,2025-09-09,Pre-Stress,1.0188876973481154,2025-09-05
2025-09-10,2025-09-11,Pre-Stress,1.0083130849755146,2025-09-10
2025-09-23,2025-09-30,Pre-Stress,1.5035122966748804,2025-09-25
2025-10-07,2025-10-08,Pre-Stress,1.0481876523839255,2025-10-07
2025-10-10,2025-11-20,Pre-Stress,3.2457259243547503,2025-11-20
2025-11-20,2025-11-26,Core Stress,3.2457259243547503,2025-11-20
2025-11-26,2025-12-12,Pre-Stress,2.7249985391833107,2025-11-26
