start_date,end_date,state,score_max,peak_date
2025-06-11,2025-06-25,Pre-Stress,1.6833774392518013,2025-06-22
2025-06-29,2025-07-02,Pre-Stress,1.3479623710655837,2025-07-01
2025-07-04,2025-07-06,Pre-Stress,1.0930895719076208,2025-07-04
2025-07-07,2025-07-08,Pre-Stress,1.0595440974218278,2025-07-07
2025-07-10,2025-07-11,Pre-Stress,1.252175428679993,2025-07-10
2025-07-15,2025-07-17,Pre-Stress,1.122840285067044,2025-07-15
2025-07-18,2025-07-22,Pre-Stress,1.1610469358602693,2025-07-20
2025-07-23,2025-07-27,Pre-Stress,1.1391519951227507,2025-07-25
2025-07-28,2025-08-07,Pre-Stress,1.7353300291437774,2025-08-02
2025-08-08,2025-08-10,Pre-Stress,1.1029802784865907,2025-08-08
2025-08-11,2025-08-12,Pre-Stress,1.04198583033569,2025-08-11
2025-08-14,2025-09-08,Pre-Stress,2.096538921373215,2025-08-29
2025-09-09,2025-09-10,Pre-Stress,1.0940840318749343,2025-09-09
2025-09-19,2025-10-02,Pre-Stress,1.7478495034159822,2025-09-25
2025-10-07,2025-10-16,Pre-Stress,2.6314863466059797,2025-10-16
2025-10-16,2025-10-19,Core Stress,2.749344269164411,2025-10-17
2025-10-19,2025-11-14,Pre-Stress,3.097759140958413,2025-11-14
2025-11-14,2025-12-09,Core Stress,4.205090454914197,2025-11-21
2025-12-09,2025-12-13,Pre-Stress,2.5772446189929195,2025-12-09
