start_date,end_date,state,score_max,peak_date
2025-09-05,2025-09-08,Pre-Stress,1.0202866806342334,2025-09-05
2025-09-10,2025-09-11,Pre-Stress,1.0064972507128331,2025-09-10
2025-09-23,2025-09-30,Pre-Stress,1.4999541571842019,2025-09-25
2025-10-07,2025-10-08,Pre-Stress,1.04951946442383,2025-10-07
2025-10-10,2025-10-15,Core Stress,2.3333067158869314,2025-10-13
2025-10-15,2025-10-16,Pre-Stress,2.341475757355213,2025-10-16
2025-10-16,2025-10-20,Core Stress,2.341475757355213,2025-10-16
2025-10-20,2025-11-04,Pre-Stress,2.4622458065316275,2025-11-04
2025-11-04,2025-11-07,Core Stress,2.7017866225654252,2025-11-06
2025-11-07,2025-11-13,Pre-Stress,2.219094071459833,2025-11-13
2025-11-13,2025-12-05,Core Stress,3.2488120737810764,2025-11-20
2025-12-05,2025-12-12,Pre-Stress,2.1302852754485686,2025-12-09
